Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
Pittsburgh Open Data,,Pennsylvania--Pittsburgh,Municipal government records,Pennsylvania--Pittsburgh|Pennsylvania,"-80.100,40.350,-79.840,40.500",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08c-02,https://pghgishub-pittsburghpa.opendata.arcgis.com,08c-02
Polk County GIS Open Data,,Minnesota--Polk County,County government records,Minnesota--Polk County|Minnesota,"-97.148,47.499,-95.553,48.174",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27119,https://hub-pcg.hub.arcgis.com,05b-27119
Pope County Open Data,,Minnesota--Pope County,County government records,Minnesota--Pope County|Minnesota,"-95.759,45.412,-95.131,45.760",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27121,https://hub-popecounty.hub.arcgis.com,05b-27121
PortlandMaps Open Data,,Oregon--Portland,Municipal government records,Oregon--Portland|Oregon,"-122.800,45.430,-122.470,45.650",ba5cc745-21c5-4ae9-954b-72dd8db6815a,17c-06,https://gis-pdx.opendata.arcgis.com,17c-06
Pottawattamie County Open Data,,Iowa--Pottawattamie County,County government records,Iowa--Pottawattamie County|Iowa,"-96.020,41.159,-95.155,41.507",ba5cc745-21c5-4ae9-954b-72dd8db6815a,03b-19155,https://open-data-pottcounty.hub.arcgis.com/,03b-19155
Puget Sound Regional Council Data Portal,,Washington (State)--Puget Sound Region,Regional government records,Washington (State)--Puget Sound Region|Washington (State),"-123.200,46.800,-121.300,48.300",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16f-01,https://psrc-psregcncl.hub.arcgis.com,16f-01
Putnam County GIS Data,,Ohio--Putnam County,County government records,Ohio--Putnam County|Ohio,"-84.399,40.859,-83.880,41.168",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39137,https://home.putnamcountygis.com/,11b-39137
Racine County GIS Download,,Wisconsin--Racine County,County government records,Wisconsin--Racine County|Wisconsin,"-88.308,42.611,-87.770,42.844",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55101,http://data.racinecounty.opendata.arcgis.com,10b-55101
Ramsey County Open Data,,Minnesota--Ramsey County,County government records,Minnesota--Ramsey County|Minnesota,"-93.228,44.887,-92.984,45.125",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27123,https://data-ramseygis.opendata.arcgis.com,05b-27123
Renville County Open GIS Data,,Minnesota--Renville County,County government records,Minnesota--Renville County|Minnesota,"-95.484,44.456,-94.498,44.892",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27129,https://hub-renvilleco.hub.arcgis.com,05b-27129
RLIS Discovery,,Oregon--Portland,Municipal government records,Oregon--Portland|Oregon,"-122.930,45.430,-121.820,45.730",ba5cc745-21c5-4ae9-954b-72dd8db6815a,17c-01,https://rlisdiscovery.oregonmetro.gov,17c-01
